2026-03-01T09:44:25.186Z | TDS:0 | pH:19.77 | Turbidity:52
2026-03-01T09:44:30.327Z | TDS:0 | pH:19.75 | Turbidity:52
2026-03-01T09:44:35.449Z | TDS:0 | pH:19.82 | Turbidity:51
2026-03-01T09:44:40.742Z | TDS:0 | pH:19.74 | Turbidity:52
2026-03-01T09:44:45.857Z | TDS:0 | pH:19.87 | Turbidity:55
2026-03-01T09:44:51.191Z | TDS:0 | pH:19.84 | Turbidity:51
2026-03-01T09:44:56.519Z | TDS:0 | pH:19.72 | Turbidity:52
2026-03-01T09:45:01.836Z | TDS:0 | pH:19.74 | Turbidity:52
2026-03-01T09:45:07.162Z | TDS:0 | pH:19.73 | Turbidity:53
2026-03-01T09:45:12.496Z | TDS:0 | pH:19.95 | Turbidity:52
2026-03-01T09:45:17.630Z | TDS:0 | pH:19.88 | Turbidity:52
2026-03-01T09:45:22.938Z | TDS:0 | pH:19.77 | Turbidity:52
2026-03-01T09:45:28.073Z | TDS:0 | pH:19.86 | Turbidity:52
2026-03-01T09:45:33.207Z | TDS:0 | pH:19.86 | Turbidity:52
2026-03-01T09:45:38.513Z | TDS:0 | pH:19.74 | Turbidity:53
2026-03-01T09:45:43.845Z | TDS:0 | pH:19.72 | Turbidity:52
2026-03-01T09:45:49.164Z | TDS:0 | pH:19.89 | Turbidity:52
2026-03-01T09:45:54.290Z | TDS:0 | pH:19.91 | Turbidity:53
2026-03-01T09:45:59.609Z | TDS:0 | pH:19.82 | Turbidity:52
2026-03-01T09:46:04.932Z | TDS:0 | pH:19.81 | Turbidity:52
2026-03-01T09:46:10.262Z | TDS:0 | pH:19.79 | Turbidity:52
2026-03-01T09:46:15.580Z | TDS:0 | pH:19.75 | Turbidity:52
2026-03-01T09:46:20.711Z | TDS:0 | pH:19.69 | Turbidity:51
2026-03-01T09:46:26.026Z | TDS:0 | pH:19.85 | Turbidity:52
2026-03-01T09:46:31.164Z | TDS:0 | pH:19.85 | Turbidity:54
2026-03-01T09:46:36.473Z | TDS:0 | pH:19.8 | Turbidity:52
2026-03-01T09:46:41.795Z | TDS:0 | pH:19.91 | Turbidity:51
2026-03-01T09:46:47.117Z | TDS:0 | pH:19.95 | Turbidity:51
2026-03-01T09:46:52.442Z | TDS:0 | pH:19.74 | Turbidity:52
2026-03-01T09:46:57.774Z | TDS:0 | pH:19.89 | Turbidity:51
2026-03-01T09:47:03.109Z | TDS:0 | pH:19.72 | Turbidity:51
2026-03-01T09:47:08.261Z | TDS:0 | pH:19.81 | Turbidity:52
2026-03-01T09:47:13.538Z | TDS:0 | pH:19.74 | Turbidity:48
2026-03-01T09:47:18.869Z | TDS:0 | pH:19.76 | Turbidity:51
2026-03-01T09:47:24.184Z | TDS:0 | pH:19.72 | Turbidity:51
2026-03-01T09:47:29.563Z | TDS:0 | pH:19.74 | Turbidity:51
2026-03-01T09:47:34.686Z | TDS:0 | pH:19.74 | Turbidity:51
2026-03-01T09:47:39.948Z | TDS:0 | pH:19.84 | Turbidity:52
2026-03-01T09:47:45.271Z | TDS:0 | pH:19.75 | Turbidity:52
2026-03-01T09:47:50.592Z | TDS:0 | pH:19.89 | Turbidity:51
2026-03-01T09:47:55.918Z | TDS:0 | pH:20.02 | Turbidity:53
2026-03-01T09:48:01.048Z | TDS:0 | pH:19.76 | Turbidity:49
2026-03-01T09:48:06.777Z | TDS:0 | pH:19.72 | Turbidity:51
2026-03-01T09:48:11.907Z | TDS:0 | pH:19.73 | Turbidity:52
2026-03-01T09:48:17.224Z | TDS:0 | pH:19.96 | Turbidity:51
2026-03-01T09:48:22.539Z | TDS:0 | pH:19.81 | Turbidity:52
2026-03-01T09:48:27.662Z | TDS:0 | pH:19.91 | Turbidity:50
2026-03-01T09:48:32.988Z | TDS:0 | pH:19.93 | Turbidity:52
2026-03-01T09:48:38.317Z | TDS:0 | pH:19.75 | Turbidity:51
2026-03-01T09:48:43.641Z | TDS:0 | pH:19.72 | Turbidity:51
2026-03-01T09:48:51.971Z | TDS:0 | pH:19.8 | Turbidity:51
2026-03-01T09:48:57.168Z | TDS:0 | pH:19.79 | Turbidity:52
2026-03-01T09:49:02.287Z | TDS:0 | pH:19.91 | Turbidity:51
2026-03-01T09:49:07.602Z | TDS:0 | pH:19.93 | Turbidity:52
2026-03-01T09:49:12.928Z | TDS:0 | pH:19.81 | Turbidity:50
2026-03-01T09:49:18.086Z | TDS:0 | pH:19.85 | Turbidity:52
2026-03-01T09:49:23.372Z | TDS:0 | pH:19.79 | Turbidity:50
2026-03-01T09:49:28.695Z | TDS:0 | pH:19.82 | Turbidity:47
2026-03-01T09:49:34.033Z | TDS:0 | pH:19.77 | Turbidity:53
3/1/2026, 3:19:49 PM | TDS:0 | pH:19.82 | Turbidity:50
3/1/2026, 3:19:55 PM | TDS:0 | pH:19.84 | Turbidity:52
